I
1000 Generated by WorldEditor

116  64.64842201 -147.08075404  64.64854182 -147.08012443
120 Linear Feature 41
111  64.65609407 -147.08785613 1
116  64.65641758 -147.08750627  64.65651942 -147.08701645
120 Linear Feature 40
111  64.65625583 -147.08837393 1
115  64.65677703 -147.08563099
120 Linear Feature 39
111  64.65591844 -147.08846948 1
116  64.65625695 -147.08834783  64.65633135 -147.08792204
120 Linear Feature 38
111  64.65590356 -147.08903431 1
116  64.65618255 -147.08887790  64.65624207 -147.08846949
120 Linear Feature 37
111  64.64820720 -147.08185946 1
112  64.64859508 -147.08173601  64.64882705 -147.08198995 1
111  64.65104522 -147.08402149 1
111  64.65592320 -147.08846322 1
116  64.65615183 -147.08912241  64.65607934 -147.08956882
120 Linear Feature 36
111  64.64867482 -147.08259941 1
116  64.64827365 -147.08149810  64.64838963 -147.08082092
120 Linear Feature 35
111  64.64884879 -147.08131277 1
116  64.64831237 -147.08131277  64.64820364 -147.08178680
120 Linear Feature 34
111  64.65607768 -147.08960711 1
111  64.65625593 -147.08838115 1
112  64.65608264 -147.08786070  64.65587469 -147.08766409 1
111  64.65140640 -147.08368352 1
111  64.64884155 -147.08132970 1
116  64.64859508 -147.07982298  64.64878355 -147.07879028
120 Linear Feature 33
111  64.65585984 -147.09111063 1
116  64.65618166 -147.09246380  64.65659260 -147.09291486
120 Linear Feature 32
111  64.64806065 -147.08279258 1
112  64.64868340 -147.08260822  64.64910442 -147.08295646 1
111  64.65085867 -147.08453376 1
111  64.65589483 -147.08903079 1
112  64.65606778 -147.08960711  64.65602817 -147.08983842 1
111  64.65585984 -147.09112220 1
116  64.65524095 -147.09157325  64.65479534 -147.09109907
120 Linear Feature 29
111  64.64764895 -147.07378884 1
116  64.64811207 -147.07261728  64.64821820 -147.07047692
120 Linear Feature 28
111  64.64792414 -147.07633832 1
112  64.64766364 -147.07374724  64.64740313 -147.07284600 1
111  64.64273951 -147.05911605 1
112  64.64246357 -147.05703444  64.64250602 -147.05651404 1
112  64.64282441 -147.05517586  64.64290932 -147.05492805 1
115  64.64358856 -147.05366421
120 Linear Feature 27
111  64.64964175 -147.07835083 1
116  64.64908138 -147.07584270  64.64923315 -147.07377077
120 Linear Feature 26
111  64.64824081 -147.07775106 1
116  64.64909305 -147.07592449  64.64940826 -147.07377077
120 Linear Feature 25
111  64.64887822 -147.07839005 1
112  64.64907996 -147.07601386  64.64910627 -147.07584999 1
111  64.65020362 -147.06885959 1
112  64.65056086 -147.06385410  64.65050445 -147.06271249 1
112  64.64884671 -147.05497566  64.64745537 -147.05339510 1
112  64.64595122 -147.05278043  64.64548117 -147.05251700 1
112  64.64357735 -147.05371068  64.64316769 -147.05440335 1
112  64.64322420 -147.05621748  64.64325245 -147.05684418 1
112  64.64366211 -147.05964784  64.64411415 -147.06100019 1
111  64.64772127 -147.07031398 1
112  64.64811680 -147.07262300  64.64806029 -147.07390945 1
112  64.64790225 -147.07630616  64.64793728 -147.07674235 1
112  64.64822914 -147.07777832  64.64838091 -147.07799642 1
116  64.64860272 -147.07987751  64.64838091 -147.08077717
120 Linear Feature 24
111  64.64787916 -147.08399991 1
112  64.64820720 -147.08185946  64.64827474 -147.08147643 1
111  64.64888258 -147.07838967 1
112  64.64962551 -147.07836714  64.65031054 -147.07893041 1
115  64.65045871 -147.07913425
120 Linear Feature 23
111  64.64836157 -147.08496875 1
112  64.64785986 -147.08404497  64.64783091 -147.08370701 1
112  64.64771513 -147.08255792  64.64768619 -147.08237767 1
111  64.64717483 -147.07933597 1
111  64.64661522 -147.07697021 1
111  64.64666347 -147.07568593 1
111  64.64660557 -147.07701527 1
111  64.64639331 -147.07606896 1
111  64.64658628 -147.07694768 1
111  64.64612316 -147.07672236 1
111  64.64660557 -147.07694768 1
115  64.64589160 -147.07733070
21  64.68149324 -147.11558905 2 157.7800 3.0 13  PAPI-4L
21  64.64946950 -147.08707454 2 337.8100 3.0 31  PAPI-4L
14  64.67610307 -147.09666486  82.02 0 New Tower Viewpoint 2
1300  64.67134911 -147.09933059  71.56 misc heavy|jets 4
1300  64.67082719 -147.09883925  74.74 misc heavy|jets 3
1300  64.67026177 -147.09833097  69.44 misc heavy|jets 2
1300  64.66970360 -147.09783963  63.43 misc heavy|jets 1
18  64.66621318 -147.09837324 4 BCN
19  64.68463631 -147.11805281 1 WS
19  64.64669392 -147.08496862 1 WS
50 11927 ASOS
50 11852 ASOS
53 12180 GND
54 12530 RANGE CON
54 12720 TWR
55 12535 FAIRBANKS APP
55 12650 FAIRBANKS APP
56 12650 FAIRBANKS DEP
99
